,country_holiday_dates,country_holiday
0,2016-01-26,Republic Day
1,2016-03-07,Maha Shivaratri/Shivaratri
2,2016-03-25,Good Friday
3,2016-04-15,Rama Navami
4,2016-04-20,Mahavir Jayanti
5,2016-05-21,Buddha Purnima/Vesak
6,2016-08-15,Independence Day
7,2016-08-25,Janmashtami
8,2016-09-13,Bakr Id/Eid ul-Adha
9,2016-10-02,Mahatma Gandhi Jayanti
10,2016-10-11,Dussehra
11,2016-10-12,Muharram/Ashura
12,2016-10-30,Diwali/Deepavali
13,2016-11-14,Guru Nanak Jayanti
14,2016-12-13,Milad un-Nabi/Id-e-Milad
15,2016-12-25,Christmas
16,2017-01-26,Republic Day
17,2017-02-24,Maha Shivaratri/Shivaratri
18,2017-04-04,Rama Navami
19,2017-04-09,Mahavir Jayanti
20,2017-04-14,Good Friday
21,2017-05-10,Buddha Purnima/Vesak
22,2017-08-15,Independence Day
23,2017-08-15,Janmashtami
24,2017-09-02,Bakr Id/Eid ul-Adha
25,2017-09-30,Dussehra
26,2017-10-01,Muharram/Ashura
27,2017-10-02,Mahatma Gandhi Jayanti
28,2017-10-19,Diwali/Deepavali
29,2017-11-04,Guru Nanak Jayanti
30,2017-12-02,Milad un-Nabi/Id-e-Milad
31,2017-12-25,Christmas
32,2018-01-26,Republic Day
33,2018-02-14,Maha Shivaratri/Shivaratri
34,2018-03-29,Mahavir Jayanti
35,2018-03-30,Good Friday
36,2018-04-14,Ambedkar Jayanti
37,2018-04-30,Buddha Purnima/Vesak
38,2018-06-16,Ramzan Id/Eid-ul-Fitar
39,2018-08-15,Independence Day
40,2018-08-22,Bakr Id/Eid ul-Adha
41,2018-09-03,Janmashtami
42,2018-09-21,Muharram/Ashura
43,2018-10-02,Mahatma Gandhi Jayanti
44,2018-10-19,Dussehra
45,2018-11-07,Diwali/Deepavali
46,2018-11-21,Milad un-Nabi/Id-e-Milad
47,2018-11-23,Guru Nanak Jayanti
48,2018-12-25,Christmas
49,2019-01-13,Lohri
50,2019-01-26,Republic Day
51,2019-03-04,Maha Shivaratri/Shivaratri
52,2019-03-21,Dolyatra
53,2019-04-14,Ambedkar Jayanti
54,2019-04-17,Mahavir Jayanti
55,2019-04-19,Good Friday
56,2019-05-18,Buddha Purnima/Vesak
57,2019-06-05,Ramzan Id/Eid-ul-Fitar
58,2019-08-12,Bakr Id/Eid ul-Adha
59,2019-08-15,Independence Day
60,2019-08-24,Janmashtami
61,2019-09-10,Muharram/Ashura
62,2019-10-02,Mahatma Gandhi Jayanti
63,2019-10-08,Dussehra
64,2019-10-27,Diwali/Deepavali
65,2019-11-10,Milad un-Nabi/Id-e-Milad
66,2019-11-12,Guru Nanak Jayanti
67,2019-12-25,Christmas
68,2020-01-14,Lohri
69,2020-01-26,Republic Day
70,2020-02-21,Maha Shivaratri/Shivaratri
71,2020-03-10,Holi
72,2020-04-02,Rama Navami
73,2020-04-06,Mahavir Jayanti
74,2020-04-10,Good Friday
75,2020-04-14,Ambedkar Jayanti
76,2020-05-07,Buddha Purnima/Vesak
77,2020-05-25,Ramzan Id/Eid-ul-Fitar
78,2020-07-31,Bakr Id/Eid ul-Adha
79,2020-08-12,Janmashtami
80,2020-08-15,Independence Day
81,2020-08-29,Muharram/Ashura
82,2020-10-02,Mahatma Gandhi Jayanti
83,2020-10-25,Dussehra
84,2020-10-29,Milad un-Nabi/Id-e-Milad
85,2020-11-14,Diwali/Deepavali
86,2020-11-30,Guru Nanak Jayanti
87,2020-12-25,Christmas
88,2021-01-13,Lohri
89,2021-01-26,Republic Day
90,2021-03-11,Maha Shivaratri/Shivaratri
91,2021-03-29,Holi
92,2021-04-02,Good Friday
93,2021-04-21,Rama Navami
94,2021-04-25,Mahavir Jayanti
95,2021-05-13,Ramzan Id/Eid-ul-Fitar
96,2021-05-26,Buddha Purnima/Vesak
97,2021-07-20,Bakr Id/Eid ul-Adha
98,2021-08-15,Independence Day
99,2021-08-19,Muharram/Ashura
100,2021-08-30,Janmashtami
101,2021-10-02,Mahatma Gandhi Jayanti
102,2021-10-15,Dussehra
103,2021-11-04,Diwali/Deepavali
104,2021-11-19,Guru Nanak Jayanti
105,2021-12-25,Christmas
